Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,246.0,246.9499969482422,244.25,245.8249969482422,185.15887451171875,4766592
2020-01-02,245.60000610351562,245.85000610351562,243.22500610351562,243.77499389648438,183.61476135253906,6424966
2020-01-03,241.9499969482422,243.375,236.4250030517578,241.75,182.0895233154297,22655540
2020-01-06,237.5,240.0,232.5749969482422,234.5749969482422,176.6852264404297,15332634
2020-01-07,233.9499969482422,237.375,229.9250030517578,230.5,173.61587524414062,23454588
2020-01-08,225.0,232.1999969482422,224.27499389648438,229.9499969482422,173.20159912109375,24743076
2020-01-09,236.0749969482422,237.1999969482422,232.72500610351562,235.27499389648438,177.2124481201172,12999312
2020-01-10,236.89999389648438,237.35000610351562,233.1999969482422,235.125,177.0994873046875,8708498
2020-01-13,235.5,238.125,234.5,235.375,177.2877960205078,7338838
2020-01-14,236.9499969482422,239.375,236.0500030517578,236.6750030517578,178.26698303222656,7216716
2020-01-15,236.25,236.47500610351562,231.60000610351562,233.97500610351562,176.23329162597656,9956518
2020-01-16,234.0,234.75,230.0749969482422,230.89999389648438,173.91712951660156,6370550
2020-01-17,231.0,232.625,226.0,226.9499969482422,170.94195556640625,11132598
2020-01-20,227.47500610351562,233.35000610351562,225.8000030517578,228.5749969482422,172.16590881347656,11681302
2020-01-21,228.8000030517578,233.25,227.52499389648438,231.9250030517578,174.689208984375,8398840
2020-01-22,232.60000610351562,233.22500610351562,227.0500030517578,227.72500610351562,171.52569580078125,7460864
2020-01-23,229.75,235.89999389648438,228.5,234.5,176.62872314453125,11131352
2020-01-24,234.625,236.60000610351562,232.35000610351562,233.0500030517578,175.53656005859375,7871260
2020-01-27,233.25,235.89999389648438,231.5,233.875,176.15794372558594,8828966
2020-01-28,234.5500030517578,241.125,233.8000030517578,240.47500610351562,181.12918090820312,15217662
2020-01-29,241.97500610351562,243.4499969482422,238.3249969482422,239.52499389648438,180.4136199951172,14264654
2020-01-30,240.02499389648438,242.25,232.5749969482422,234.8249969482422,176.87353515625,10891876
2020-01-31,235.0,236.3000030517578,228.02499389648438,228.47500610351562,172.09060668945312,13892950
2020-02-03,223.125,231.75,221.22500610351562,230.14999389648438,173.3522491455078,18802900
2020-02-04,232.5,240.5500030517578,231.0,239.25,180.20648193359375,15683820
2020-02-05,240.0,253.97500610351562,239.0,250.85000610351562,188.9437713623047,30234094
2020-02-06,251.64999389648438,255.0,246.10000610351562,247.52499389648438,186.4393310546875,22467954
2020-02-07,247.39999389648438,247.8000030517578,243.0,245.6999969482422,185.06471252441406,9022030
2020-02-10,246.0,247.77499389648438,241.6750030517578,242.72500610351562,182.82391357421875,8848392
2020-02-11,245.39999389648438,246.97500610351562,240.02499389648438,240.5,181.14804077148438,7943310
2020-02-12,241.5,242.85000610351562,236.9499969482422,237.375,178.7942352294922,7549204
2020-02-13,238.85000610351562,239.25,234.0,234.5,176.62872314453125,8083000
2020-02-14,235.5,242.25,234.9499969482422,238.22500610351562,179.43443298339844,23043576
2020-02-17,239.22500610351562,239.22500610351562,230.0,230.8249969482422,173.86065673828125,9025984
2020-02-18,230.875,236.25,228.0,235.375,177.2877960205078,11940592
2020-02-19,236.75,240.5,234.75,237.77499389648438,179.09548950195312,10786834
2020-02-20,237.4250030517578,240.0,235.27499389648438,235.875,177.66441345214844,8752120
2020-02-24,235.5,237.85000610351562,231.5,232.3249969482422,174.990478515625,12382886
2020-02-25,234.89999389648438,235.27499389648438,227.4499969482422,228.375,172.01528930664062,11044046
2020-02-26,228.8000030517578,229.77499389648438,221.60000610351562,224.39999389648438,169.02125549316406,14491090
2020-02-27,223.4250030517578,224.8249969482422,219.25,222.02499389648438,167.2323760986328,12178324
2020-02-28,219.4499969482422,219.4499969482422,210.25,213.1750030517578,160.56643676757812,12199026
2020-03-02,216.0,220.9250030517578,203.25,206.1750030517578,155.29391479492188,15624380
2020-03-03,207.5500030517578,213.5749969482422,206.75,212.5,160.0580291748047,11415592
2020-03-04,211.0500030517578,214.35000610351562,202.6999969482422,209.35000610351562,157.68539428710938,15457514
2020-03-05,209.3249969482422,214.5749969482422,208.52499389648438,209.1999969482422,157.57241821289062,11450828
2020-03-06,200.10000610351562,204.9250030517578,199.0,201.5500030517578,151.810302734375,15762914
2020-03-09,206.9499969482422,227.1999969482422,202.89999389648438,211.9250030517578,159.6249237060547,79590744
2020-03-11,211.6750030517578,211.6750030517578,200.52499389648438,202.1999969482422,152.29989624023438,29496116
2020-03-12,195.64999389648438,196.27499389648438,165.27499389648438,172.14999389648438,129.66580200195312,35196480
2020-03-13,168.89999389648438,198.35000610351562,137.72500610351562,188.02499389648438,141.6230926513672,50824080
2020-03-16,175.0,193.625,174.85000610351562,182.3249969482422,137.3297882080078,33314334
2020-03-17,182.5,192.8249969482422,177.0,178.60000610351562,134.52406311035156,19649626
2020-03-18,181.97500610351562,183.02499389648438,164.10000610351562,166.27499389648438,125.24068450927734,20417518
2020-03-19,155.5,160.0,142.6999969482422,150.125,113.0762710571289,27434876
2020-03-20,152.5,161.5,149.3000030517578,158.9250030517578,119.70457458496094,20390122
2020-03-23,142.5,149.0,131.14999389648438,134.6750030517578,106.9932861328125,18697444
2020-03-24,138.85000610351562,141.5,126.0,131.4250030517578,104.41129302978516,19533962
2020-03-25,126.30000305175781,138.47500610351562,126.30000305175781,136.875,108.74107360839844,14919242
2020-03-26,137.5,143.1999969482422,134.25,141.14999389648438,112.13738250732422,12626898
2020-03-27,145.0,152.0,137.10000610351562,139.375,110.72722625732422,12155778
2020-03-30,134.5,144.75,134.5,137.375,109.1383056640625,13666176
2020-03-31,142.0,164.85000610351562,140.0,158.4499969482422,125.8814468383789,33090992
2020-04-01,156.0,157.9499969482422,146.75,151.47500610351562,120.34012603759766,25195590
2020-04-03,150.5,163.0,143.5749969482422,158.5749969482422,125.98078155517578,28641760
2020-04-07,163.5,179.64999389648438,159.75,175.5500030517578,139.46664428710938,21185186
2020-04-08,175.0,182.10000610351562,170.125,171.14999389648438,135.9710235595703,18356498
2020-04-09,172.5749969482422,178.3249969482422,169.625,172.4499969482422,137.00384521484375,15853988
2020-04-13,172.5,177.27499389648438,168.10000610351562,175.0500030517578,139.06939697265625,9908612
2020-04-15,177.25,185.1750030517578,175.5500030517578,176.9250030517578,140.55902099609375,12598234
2020-04-16,177.25,182.5,174.77499389648438,177.6999969482422,141.1747283935547,11831216
2020-04-17,183.0,183.0,177.10000610351562,180.0500030517578,143.0417022705078,8840986
2020-04-20,181.0749969482422,186.4499969482422,180.60000610351562,184.1999969482422,146.3386688232422,12420738
2020-04-21,183.375,184.72500610351562,176.5500030517578,177.625,141.11512756347656,10283406
2020-04-22,178.60000610351562,180.0,168.5749969482422,178.35000610351562,141.6911163330078,14252248
2020-04-23,178.4250030517578,181.4499969482422,176.25,177.5749969482422,141.07542419433594,8341956
2020-04-24,176.0,178.3249969482422,173.5,175.22500610351562,139.2084503173828,6912420
2020-04-27,176.60000610351562,182.8000030517578,176.14999389648438,177.6999969482422,141.1747283935547,9902396
2020-04-28,179.89999389648438,187.4250030517578,177.10000610351562,179.5500030517578,142.6444549560547,22200402
2020-04-29,180.0,182.5,177.52499389648438,180.375,143.29989624023438,11648158
2020-04-30,182.125,186.6999969482422,179.0,185.0,146.9742431640625,16016718
2020-05-04,181.0,181.0,170.77499389648438,173.9499969482422,138.1955108642578,14509120
2020-05-05,177.0,182.10000610351562,172.625,173.52499389648438,137.85784912109375,26356086
2020-05-06,160.625,173.22500610351562,156.1750030517578,171.89999389648438,136.56686401367188,41361302
2020-05-07,171.0,171.0,164.10000610351562,164.77499389648438,130.90635681152344,17100430
2020-05-08,166.5,168.14999389648438,160.60000610351562,162.375,128.99969482421875,16997368
2020-05-11,163.0,165.1750030517578,155.64999389648438,157.39999389648438,125.04727172851562,21372716
2020-05-12,155.25,159.89999389648438,154.3000030517578,156.25,124.13362884521484,16622240
2020-05-13,162.0,162.1999969482422,156.375,158.27499389648438,125.74242401123047,15241920
2020-05-14,156.72500610351562,158.1750030517578,153.625,154.85000610351562,123.02142333984375,9664168
2020-05-15,156.5,162.1750030517578,155.5500030517578,159.10000610351562,126.39787292480469,27767190
2020-05-18,160.27499389648438,160.75,145.9250030517578,147.02499389648438,116.80479431152344,20378694
2020-05-19,150.75,152.1999969482422,145.89999389648438,146.64999389648438,116.50688171386719,12045836
2020-05-20,147.0,155.6999969482422,146.02499389648438,154.4499969482422,122.70362854003906,17342228
2020-05-21,155.0,158.0,150.8000030517578,156.60000610351562,124.41171264648438,14931316
2020-05-22,155.5,162.0,153.625,157.60000610351562,125.2061767578125,17078040
2020-05-26,157.5,160.4499969482422,156.02499389648438,156.5749969482422,124.39183807373047,12212502
2020-05-27,158.39999389648438,165.6999969482422,156.375,164.72500610351562,130.86666870117188,18130652
2020-05-28,166.9499969482422,167.1750030517578,160.14999389648438,163.22500610351562,129.67498779296875,18552604
2020-05-29,164.0,173.5749969482422,163.0,171.39999389648438,136.16966247558594,26722320
2020-06-01,172.14999389648438,178.35000610351562,170.0500030517578,173.14999389648438,137.5599365234375,20423126
2020-06-02,174.0,174.0,168.64999389648438,170.8000030517578,135.69297790527344,12639442
2020-06-03,172.0,176.97500610351562,169.60000610351562,174.52499389648438,138.65232849121094,20167782
2020-06-04,171.0,179.6999969482422,169.5,178.625,141.9095916748047,32779676
2020-06-05,178.3249969482422,186.25,176.10000610351562,184.8000030517578,146.81533813476562,21970108
2020-06-08,189.8000030517578,199.25,188.3000030517578,197.0500030517578,156.5474395751953,29583292
2020-06-09,200.0,201.02499389648438,189.72500610351562,190.75,151.5423583984375,19643304
2020-06-10,192.1750030517578,192.1750030517578,186.47500610351562,189.47500610351562,150.52943420410156,14983264
2020-06-11,189.0,193.25,184.0,185.02499389648438,146.9940948486328,16965850
2020-06-12,177.625,188.4499969482422,177.625,186.9499969482422,148.52342224121094,15636964
2020-06-15,186.9499969482422,186.97500610351562,178.25,180.5,143.39918518066406,13054104
2020-06-16,184.89999389648438,186.0749969482422,178.3249969482422,179.875,142.9026641845703,11469976
2020-06-17,179.875,183.25,178.375,182.3000030517578,144.82920837402344,10041494
2020-06-18,182.0500030517578,188.22500610351562,179.875,185.125,147.07354736328125,12301976
2020-06-19,186.0,192.25,185.5,190.27499389648438,151.16500854492188,13271548
2020-06-22,191.5,194.6999969482422,189.8249969482422,192.5749969482422,152.99224853515625,20792714
2020-06-23,193.0,196.4499969482422,191.125,196.0,155.71322631835938,8346306
2020-06-24,196.0,197.1999969482422,187.5,189.27499389648438,150.3705291748047,8117432
2020-06-25,189.0,192.14999389648438,183.64999389648438,185.125,147.07354736328125,13394304
2020-06-26,188.1999969482422,198.47500610351562,186.5,196.8249969482422,156.36865234375,24376122
2020-06-29,196.4499969482422,197.8000030517578,189.1750030517578,191.6750030517578,152.2772674560547,12024496
